店名,店舗電話番号,住所,営業時間,定休日,アクセス,入口幅が80cm以上である,入口の移動経路は平坦または段差が2cm以下である,店舗内の椅子は移動可能である,店舗内は車椅子での移動が可能である,テーブル下にスペースがある（高さ65cm×幅70cm×奥行45cm程度）,店舗内または同じフロア内にトイレがある,車椅子使用者対応トイレがある（施設内の他フロアを含む）またはオストメイトがある,写真メニューがある,英語等外国語のメニューがある,点字表記のメニューがある,筆談によるコミュニケーションがある,手話のできるスタッフがいる,事前申請によるアレルギー対応が可能,事前申請によるベジタリアンまたはヴィーガン対応が可能,事前申請によるハラール対応が可能,店舗URL
カフェ　シェ・アンドレドゥ・サクレクール,03-6228-1053,東京都中央区日本橋人形町1-8-5,11:00~20:30(LO19:00)ランチ11:00~14:30 ディナー17:00~20:30,日・月・祝,地下鉄「人形町」徒歩1分、地下鉄「水天宮前」徒歩3分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,,,http://park7.wakwak.com/~chezandrescoeur/
焼肉はっぴぃ人形町店,03-6661-7308,東京都中央区日本橋人形町1-4-13 重本ビル1F,ランチ11:30~15:00ディナー15:00~22:00(LO21:00),年末年始,地下鉄「人形町」徒歩３分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,〇,,,https://www.yakiniku-happy.jp/shop/1
CRAFTROCK BREWPUB&LIVE,03-5542-1069,東京都中央区日本橋室町3-2-1 コレド室町テラス1F,平日ランチ11:00~15:00(LO14:00)ディナー17:00~23:00(LO22:00)土・日11:00~23:00,施設に準ずる,地下鉄「三越前」直結、JR「新日本橋」直結,〇,〇,,,,〇,〇,,〇,,〇,,〇,〇,〇,https://craftrock.jp/brewpub/store/
Gino Sorbillo Artista Pizza Napoletana,03-6910-3553,東京都中央区日本橋室町3-2-1 コレド室町テラス1F,11:00~23:00(LO21:30)ランチ11:00~14:00,施設に準ずる,地下鉄「三越前」直結、JR「新日本橋」直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,〇,https://www.instagram.com/sorbillopizza_japan/
いい乃じ,03-6225-2120,東京都中央区日本橋室町3-2-1 コレド室町テラス1F,11:00~15:00(LO14:00) 17:00~23:00(LO22:00),施設に準ずる,地下鉄「三越前」直結、JR「新日本橋」直結,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,〇,https://iinoji.zetton.co.jp/?utm_source-google&utm_medium-maps
肉バル　DE ICHIBA　八丁堀店,03-6803-0861,東京都中央区八丁堀2-30-17 亀島橋ビル1F・2F,ランチ11:30~15:00(LO14:30)ディナー17:00~23:00(LO22:30),日・祝,JR・地下鉄「八丁堀」徒歩2分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://www.chimney.co.jp/restaurant/detail/?id-1231
ブリランテタヴォラDai勝どき店,03-6910-1699,東京都中央区勝どき4-6-2 109区画B方,ランチ11:00~15:00(LO14:30)ディナー17:00~23:00(LO22:00),定休日無し,地下鉄「勝どき」徒歩5分,〇,〇,〇,〇,〇,〇,,〇,,,〇,,,,,https://www.pleasure-company.com/wine_bistro/
鮨 たかや,03-3573-8030,東京都中央区銀座7-3-9 銀座Leeビル B1F,ランチ12:00~14:00(LO13:30)ディナー 17:30~22:30(LO21:00),不定休,地下鉄「銀座」徒歩5分、JR「新橋」徒歩5分、JR・地下鉄「有楽町」徒歩5分,〇,〇,〇,〇,〇,〇,,,〇,,,,〇,〇,〇,http://www.kutani-ginza.com/ja/
レストラン　ノア,03-3561-2230,東京都中央区銀座西2-2 銀座インズ2 2F,月・火・水11:30～22:00木・金・土13:00~22:00,日・祝,JR「有楽町」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://r.gnavi.co.jp/g293417/
ブルドック 銀座 クラフトビール,03-3564-0996,東京都中央区銀座西3-1 銀座インズ1 2F,平日15:00~23:00(LO22:00)土・日・祝12:00~23:00 (22:00) 　　　　,定休日無し,JR「有楽町」徒歩1分、地下鉄「銀座」直結,〇,〇,〇,〇,〇,,,〇,〇,,〇,,,,,https://ginza-bulldog.com/
Bar Espanol LA BODEGA 銀座店,03-6264-5456,東京都中央区銀座5-2-1 東急プラザ銀座 10Ｆ,ランチ11:00~16:00ディナー17:00~23:00(LO21:45),不定休,地下鉄「銀座」徒歩1分、地下鉄「日比谷」徒歩2分、地下鉄「有楽町」徒歩2分、JR「有楽町」徒歩4分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://bar-espanol-labodega-ginza.com/index.html
箱根暁庵 銀座三越店,03-6228-6918 ,東京都中央区銀座4-6-16 銀座三越 新館11F,11:00~21:00(LO20:00),定休日無し,地下鉄「銀座」徒歩3分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://akatsukian.jp/shop-ginza
雲南キノコ火鍋 御膳房 銀座店,03-6228-6231,東京都中央区銀座2-6-5 銀座トレシャスビル1 1F,平日ランチ11:30~15:00(LO14:30)ディナー17:00~23:00(LO22:00)土・日・祝11:30～22:00(L.O:21:00)※ランチLO15:00,12/31はランチ営業のみ・1/1,地下鉄「銀座一丁目」徒歩0分、地下鉄「銀座」徒歩5分、JR「有楽町」徒歩4分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,,https://www.gozenbo.com/gozenbo-ginza
梅の花 銀座並木通店,03-3538-2226, 東京都中央区銀座2-3-6 並木通りビル 5F,ランチ11:00~16:00(LO15:00)ディナー17:00~22:00(LO21:00),年末年始,地下鉄「銀座」徒歩3分、JR「有楽町」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,〇,,https://umenohana-restaurant.co.jp/shop-list/osusume.php?id-910
BISTRO 222,03-6432-4336,東京都港区新橋4-1-1 新虎通りCORE 2階,平日ランチ11:30~14:30(LO14:00)ディナー17:00~23:00(LO22:00)土・日・祝ランチ12:00~15:00(LO14:30)ディナー17:00~22:30(LO22:00),日・不定休,JR・地下鉄「新橋」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,,,,https://s.tabelog.com/tokyo/A1301/A130103/13226712/dtlphotolst/
Tacos Way,03-6257-1901,東京都港区虎ノ門1-17-1 虎ノ門ヒルズビジネスタワー 2F,11:00~22:00(LO21:00)ランチ 11:00~15:00ディナー 15:00~22:00土・日・祝のみ11:00~21:00(LO20:00）,年末年始・施設に準ずる,地下鉄「虎ノ門」徒歩3分、地下鉄「虎ノ門ヒルズ」徒歩4分,〇,〇,,〇,,〇,〇,〇,〇,,〇,,,,,http://www.cardenas.co.jp
京都一の傳 六本木ヒルズ店,03-6432-9808,東京都港区六本木6-10-1 六本木ヒルズウェストウォーク 5F,ランチ11:00~15:00(LO14:30)ディナー17:00~23:00(LO21:00),水・年末年始,地下鉄「六本木」徒歩1分、地下鉄「乃木坂」徒歩7分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.ichinoden.jp/ropponngi/
日本料理　菱沼,03-3568-6588,東京都港区六本木5-17-1 AXISビル B1F,18:00~23:00(LO20:30),日・祝,地下鉄「六本木」徒歩7分、地下鉄「六本木一丁目」徒歩7分、地下鉄「麻布十番」徒歩7分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,,https://hishinuma-japanese-restaurant.business.site/
エディション・コウジ・シモムラ,03-5549-4562,東京都港区六本木3-1-1 六本木ティーキューブ 1F,ランチ12:00~15:30(LO13:00)ディナー18:00~22:00(LO19:30),水,地下鉄「六本木一丁目」徒歩5分,〇,,〇,〇,〇,〇,〇,,〇,,,,〇,〇,〇,https://www.koji-shimomura.jp/
ゴールデンタイガー六本木,03-5772-5580,東京都港区六本木6-10-1 六本木ヒルズヒルサイド 1F,11:00~23:00(LO22:00）,施設に準ずる,地下鉄「六本木」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,,,https://kiwa-group.co.jp/goldentiger/
新兄夫苑 シンヒョンブエン 赤坂店,03-6426-5593,東京都港区赤坂2-14-8 赤坂SKビル 1F,11:00~5:00,定休日無し,地下鉄「赤坂」徒歩3分、地下鉄「赤坂見附」徒歩6分、地下鉄「溜池山王」徒歩5分,〇,〇,〇,〇,,〇,,〇,〇,,,,〇,,〇,https://tabelog.com/tokyo/A1308/A130801/13283559/
熟成焼肉 肉源 赤坂店,03-5797-7390,東京都港区赤坂2-14-33 赤坂三田ビル 藤会館 2F,ランチ11:00~16:00(LO15:30)ディナー16:00～23:00(LO22:00),12/31・1/1,地下鉄「赤坂」徒歩1分,〇,〇,,〇,,〇,,〇,〇,,〇,,〇,,,https://www.nikugen.jp/shop/akasaka/
AW55 アトレ品川店,03-6717-0914,東京都港区港南2-18-1 アトレ品川 4F,ランチ11:00~14:30ディナー14:30~23:00(LO22:00)土・日・祝11:00~22:00(LO21:00),施設に準ずる,JR「品川」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://aw-kitchen.com/1646/
一頭買焼肉 醍醐 お台場店,03-3599-2929,東京都港区台場1-6-1 デックス東京ビーチ シーサイドモール 6F,ランチ11:00~15:00 (LO14:30)ディナー17:00~23:00 (LO22:00),施設に準ずる,ゆりかもめ「お台場海浜公園」徒歩2分、ゆりかもめ「台場」徒歩5分、りんかい線「東京テレポート」徒歩7分,〇,〇,,〇,〇,〇,〇,〇,〇,,,,〇,,,https://yakiniku-daigo.com/shop_info/odaiba/
ビッグシェフ,03-3599-6571,東京都港区台場1-6-1 デックス東京ビーチ シーサイドモール 5F,ランチ11:00~16:00 (LO15:00)ディナー17:30~21:00 (LO20:00),施設に準ずる,ゆりかもめ「お台場海浜公園」徒歩2分、ゆりかもめ「台場」徒歩5分、りんかい線「東京テレポート」徒歩7分,,〇,〇,〇,〇,,〇,〇,〇,,〇,,〇,,〇,https://www.hotpepper.jp/strJ000035794/
YORIMICHI Odaiba,03-6426-0234,東京都港区台場1-7-1 アクアシティお台場 6F,11:00~23:00,施設に準ずる,ゆりかもめ「台場」徒歩1分、りんかい線「東京テレポート」徒歩6分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://www.yorimichi.team-d.info/
GREEN ASIA TOKYO,03-6426-0633,東京都港区台場1-7-1 アクアシティお台場 6F,11:00~23:00 (LO22:00),施設に準ずる,ゆりかもめ「台場」徒歩1分、りんかい線「東京テレポート」徒歩6分,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://www.hotpepper.jp/strJ001153828/
炭火焼肉・韓国料理 KollaBoアクアシティお台場店,03-6426-0717,東京都港区台場1-7-1 アクアシティお台場 5F,ランチ平日11:00~15:00土・日・祝11:00~15:30ディナー平日15:30~23:00土・日・祝16:00~23:00,施設に準ずる,ゆりかもめ「台場」徒歩1分、りんかい線「東京テレポート」徒歩6分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,〇,,,https://tabelog.com/tokyo/A1313/A131306/13205108/
山下本気うどん 新宿歌舞伎町,03-5291-3002,東京都新宿区歌舞伎町1-21-12 カドービル2F・3F・4F,24時間営業,不定休,西武線「西武新宿」徒歩1分、地下鉄「新宿」徒歩4分、地下鉄「新宿西口」徒歩4分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://yamashita-honki-udon.com/
しゃぶ菜 新宿マルイアネックス,03-5362-7831,東京都新宿区新宿3-1-26 新宿マルイANNEX 8F,11:00~22:00（最終入店21:00）,施設に準ずる,JR「新宿」徒歩10分、地下鉄「 新宿三丁目」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://shabu-sai.com/1023/
しゃぶ葉 新宿NOWAビル店,03-5312-8592,東京都新宿区新宿3-37-12 新宿NOWAビル 6F,11:00~23:00(LO22:30),施設に準ずる,JR「新宿駅」徒歩１分,〇,〇,,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://store-info.skylark.co.jp/skylark/map/198426
むさしの森Diner新宿中央公園店,03-5909-0588,東京都新宿区西新宿2-11-5,7:00~22:00(LO21:00),定休日無し,地下鉄「都庁前」 徒歩4分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,,,,https://store-info.skylark.co.jp/mmcoffee/map/198279
MORETHAN TAPAS LOUNGE,03-6300-0174,東京都新宿区西新宿4-31-1 ザノット東京新宿 1F,ランチ11:00~15:15カフェ15:30~17:00(LO16:30)ディナー17:00~23:00(LO22:00),施設に準ずる,JR「新宿」徒歩13分、京王線「初台」徒歩10分、地下鉄「都庁前」徒歩5分、地下鉄「西新宿五丁目」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,,https://www.mothersgroup.jp/shop/morethan_dining.html
CEN DIVERSITY HOTEL&CAFE,03-6278-9901,東京都新宿区百人町1-5-19 CEN DIVERSITY HOTEL 1F,8:00~22:00,定休日無し,JR「新大久保」徒歩5分、JR「大久保駅」徒歩5分、西武線「西武新宿」徒歩4分、JR「新宿」徒歩12分,,,〇,〇,〇,〇,,,〇,,〇,,,〇,,https://hotelcen.com/cafe/
カフェ ブンブン,03-5940-2822,東京都文京区小日向2-16-15,9:00~17:00,年末年始・施設に準ずる,地下鉄「江戸川橋」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,,〇,〇,,〇,,,https://team-lien.com/service/bunbun.html
関口フランスパン,03-3943-1665,東京都文京区関口2-3-3,平日・土8:00~18:00日・祝8:00~17:00,年末年始,地下鉄「江戸川橋」徒歩6分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,〇,,https://www.sekiguchipan.co.jp/index_tenpo.html
ソーシャルカフェ サインウイズミー × ベリーベリースープ,03-5615-8764,東京都文京区本郷4-15-14 区民センター 1F,11:00~17:00,不定休,地下鉄「春日」徒歩5分,〇,〇,〇,〇,〇,〇,,〇,,,〇,〇,〇,,,https://signwithme.in/
AWkitchen figlia 渋谷スクランブルスクエア店,03-6419-3380,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア 13F,ランチ11:00~15:00(LO15:00)カフェ15:00~16:30 16:30~17:00(ドリンクのみ)ディナー17:00~23:00(LO22:00）,施設に準ずる,JR・地下鉄「渋谷駅」徒歩3分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,,,https://aw-kitchen.com/1643/
エコファームカフェ632,03-3498-0632,東京都渋谷区神宮前6-32-10,11:00~20:00(LO19:00),年末年始,JR「原宿」徒歩7分、地下鉄「明治神宮前」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://tabelog.com/tokyo/A1306/A130601/13010652/?cid-yo_y_ss_shop_13010652&yclid-YSS.1001214534.EAIaIQobChMIl7az763oggMV9RB7Bx05AwObEAAYASAAEgIbtPD_BwE
やさい家めい 表参道ヒルズ本家,050-1807-6493,東京都渋谷区神宮前4-12-10 表参道ヒルズ 本館 3F,ランチ11:00~16:00(LO15:00)ディナー17:00~22:30(LO21:30)※金・土のみ~23:00(LO22:00),不定休,地下鉄「表参道」徒歩5分,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://yasaiya-mei.com/1647/
海南鶏飯食堂5,03-5468-2711,東京都渋谷区神宮前6-20-10 MIYASHITA PARK North 3F,ランチ11:00~16:00ディナー16:00~23:00(LO22:00),施設に準ずる,JR・地下鉄「渋谷」徒歩3分,〇,〇,〇,,,〇,〇,〇,〇,,〇,,〇,,,https://route9g.com/1360
Nouvelle Ethnique ATHA,03-5422-8103,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 6F,月~金15:00~23:00土・日・祝11:30~23:00(ランチ~15:00）,月曜日(月が祝日の場合は翌日火曜日休み),JR「恵比寿」徒歩1分,〇,,〇,〇,〇,〇,,,〇,,〇,,〇,,,https://www.pleasure-company.com/atha/
南翔饅頭店 西武渋谷店,03-5784-0571,東京都渋谷区宇田川町21-1 西武渋谷店A館 B2F,ランチ11:00~16:00(LO15:30)ディナー17:00~21:00(LO20:30),施設に準ずる,JR・東急線「渋谷駅」徒歩2分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,〇,,,http://nansho-mantouten.createrestaurants.com/jp/seibu.html
喜の字,03-5371-3690,東京都渋谷区笹塚3-19-2 青田ビル 1FA,18:00~23:30(閉店時間・LOは日ごとに差異あり),不定休,京王線「笹塚」徒歩8分,〇,〇,〇,〇,〇,〇,,,,,〇,,〇,,,http://www.kinoji-sasazuka2.jp/
Garlic Mania,03-6903-6966,東京都豊島区北大塚2-29-3 グリーンピア大塚 1F,ランチ11:30~15:00 (LO14:30)ディナー15:30~23:00(LO22:00),月曜日,JR「大塚」徒歩5分,〇,〇,〇,〇,,〇,,,〇,,〇,,〇,,,https://s.tabelog.com/tokyo/A1323/A132302/13283492/
アル・テアトロ,03-3984-2221,東京都豊島区西池袋1-8-1 東京芸術劇場 2F,ランチ11:00~15:00(LO14:30)カフェ14:30~17:00(LO16:30)ディナー17:00~21:00(LO20:00),不定休,JR「池袋」徒歩1分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,,,https://alteatro-ikebukuro.com/
福島家,03-3918-3330,東京都豊島区巣鴨2-1-1,9:30~18:00,水・他月2回,JR「巣鴨」徒歩1分,〇,〇,〇,〇,,〇,,〇,,,〇,,,,,https://fukushima-ya.jp/
新時代 池袋西口店,03-3982-9358,東京都豊島区池袋2-1-1 岸野ビル 1F,平日17:00~5:00(LO4:00) 土・日・祝15:00~5:00(LO4:00),定休日無し,JR・地下鉄「池袋」徒歩1分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,〇,https://kiwa-group.co.jp/tokyogrillharbour/
菜の庵 ルミネ池袋,03-5954-8287,東京都豊島区西池袋1-11-1 ルミネ池袋店 9F,ランチ11:00~17:00(LO17:00)ディナー17:00~22:00(LO21:30),施設に準ずる,JR「池袋」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://shop.create-restaurants.co.jp/1267/
THE CELLAR TOKYO,03-6384-7345,東京都豊島区西池袋3-4-5,19:00~2:00,日曜日,JR・地下鉄「池袋」徒歩5分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,〇,,〇,https://www.thecellartokyo.com/
マックスキャロット,03-3565-3668,東京都豊島区目白3-16-16 広運ビル 1F,火~木・日11:00~21:00(LO20:30)金・土11:00~22:00(LO21:30),月曜日(月が祝日の場合は翌日火曜日休み),JR「目白」徒歩2分,〇,〇,〇,,〇,〇,,,〇,,〇,,,,,https://s.tabelog.com/tokyo/A1305/A130502/13012444/
ペルファボーレ,03-5359-3970,東京都豊島区要町1-18-12,ランチ11:30~16:00(LO15:00)ディナー18:00~23:00(LO22:00),火曜日,地下鉄「要町」徒歩3分,,,〇,,〇,〇,,,,,〇,,,,,https://s.tabelog.com/tokyo/A1322/A132202/13108899/
藍屋 落合南長崎店,03-3565-7731,東京都豊島区南長崎4-5-20 iTerrace落合南長崎 2F,11:00~22:30(LO22:00),施設に準ずる,地下鉄「落合南長崎」徒歩2分,〇,〇,,,〇,〇,〇,〇,,,〇,,,,,https://store-info.skylark.co.jp/aiya/map/130479
焼肉 陽山道 パルコヤ上野店,03-6284-2880,東京都台東区上野3-24-6 パルコヤ 6F,ランチ11:00~15:00(LO15:00)ディナー15:00~22:00(LO21:00),定休日無し,JR「御徒町」徒歩3分、地下鉄「上野広小路」徒歩1分,〇,〇,〇,,,〇,〇,〇,〇,,〇,,〇,〇,〇,https://yansando.jp/parcoya-ueno/
すしと天ぷらとろ一 御徒町本店,050-5487-4102,東京都台東区上野4-1-4,11:00~6:00ランチ11:00~17:00(LO17:00)ディナー17:00~6:00(LO6:00),定休日無し,JR「御徒町」徒歩約2分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://sushi-restaurant-1386.business.site/
フォレスティーユ精養軒,03-3821-9151,東京都台東区上野公園5-45 東京文化会館内,11:00~17:00 (LO16:30)または11:00~19:00(LO18:30) 文化会館の公演等で変化あり,不定休,JR・地下鉄「上野」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://www.seiyoken.co.jp/restaurant/t-bunka/index.html
高級寿司食べ放題 雛鮨 上野の森さくらテラス,03-5816-3260,東京都台東区上野公園1-54 上野の森さくらテラス2F,ランチ11:00~17:00(LO16:30)ディナー17:00~23:00(LO22:30),施設に準ずる,JR・地下鉄「上野駅」徒歩1分、京成線「京成上野」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://hina-sushi.com/shops/ueno/
BISTRO NOHGA,03-6284-2417,東京都台東区東上野2-21-10 NOHGA HOTEL UENO TOKYO 1F,モーニング7:00~10:30(LO10:00)ランチ11:30~14:00カフェ14:00~18:00毎月第2火曜日11:00~17:00(LO16:00)ディナー 18:00~22:30(コースLO20:30),第2火曜日17:00~7:00,地下鉄「上野」徒歩3分、JR「上野」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,〇,〇,,https://nohgahotel.com/ueno/bistronohga/
カフェ CREATEA,03-6803-2501,東京都台東区台東4-18-12,10:00~19:00(LO18:30)ランチ12:00~15:00(LO14:30),土・日・祝・年末年始,JR「御徒町」徒歩7分、地下鉄「仲御徒町」徒歩3分、つくばエクスプレス「新御徒町」徒歩4分、地下鉄「上野御徒町」「上野」徒歩6分、地下鉄「上野広小路」徒歩8分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,,https://createa.jp/
上野精養軒 本店 レストラン (洋食),03-3821-2181 ,東京都台東区上野公園4-58,平日11:00~17:00(LO16:00)土・日・祝10:30~18:00(LO17:00),月曜日,JR「上野」 徒歩5分、地下鉄「上野 」徒歩5分、地下鉄「上野御徒町」徒歩8分、京成線「京成上野」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.seiyoken.co.jp/
一頭買焼肉 玄 浅草本店,03-5826-2929,東京都台東区浅草1-42-4 ヒューリック浅草一丁目ビル 2F,ランチ11:45~15:00(LO14:30)ディナー16:30~22:15(LO21:45)土・日・祝16:30~21:50(LO21:15),定休日無し,つくばエクスプレス「浅草」徒歩1分、地下鉄・東武線「浅草」徒歩8分,〇,,,〇,,〇,,〇,〇,,〇,,〇,〇,〇,https://gen-gen-gen.com/
浅草すし若 雷門店,050-5493-7154,東京都台東区浅草1-18-8 1~2F,ランチ11:00~16:00ディナー16:00~2:00(LO1:30),定休日無し,地下鉄「浅草」徒歩3分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,,,https://sushiwaka.sakanaya-group.com/
ロシヤ料理 ラルース,03-3841-3383,東京都台東区浅草1-39-2,ランチ11:30~14:00(LO14:00)ディナー14:00~22:30(LO20:30),火曜日(火が祝日の場合は翌日水曜日休み),つくばエクスプレス「浅草」徒歩3分、東武線「浅草」徒歩6分,〇,〇,〇,,〇,〇,,,,,〇,,,,,https://larousse-asakusa.com/
鳥良商店 浅草すしや通り店,03-5830-0561,東京都台東区浅草1-12-9 東京会館 1F,12:00~4:00(LO2:30),定休日無し,つくばエクスプレス「浅草」 徒歩2分、地下鉄「 田原町」徒歩5分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://toriyoshishoten.jp/1486/
